"","team_name","avg_cost_2019"
"1","49ers",178
"2","Bears",376
"3","Bengals",114
"4","Bills",105
"5","Broncos",278
"6","Browns",190
"7","Buccaneers",150
"8","Cardinals",93
"9","Chargers",191
"10","Chiefs",209
"11","Colts",114
"12","Commanders",167
"13","Cowboys",258
"14","Dolphins",143
"15","Eagles",256
"16","Falcons",170
"17","Giants",152
"18","Jaguars",98
"19","Jets",117
"20","Lions",122
"21","Packers",243
"22","Panthers",131
"23","Patriots",501
"24","Raiders",149
"25","Rams",114
"26","Ravens",129
"27","Saints",301
"28","Seahawks",248
"29","Steelers",221
"30","Titans",148
"31","Vikings",187
